ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
500010011	1	N	5	53		72.33	322.865	36.53585	-121.912881	2.713	ML	1	CARMEL RIV BRIDGE HWY 1 NB VDS M				
500010012	1	S	5	53		72.331	322.8	36.53586	-121.91287	2.714	ML	1	CARMEL RIV BRIDGE HWY 1 NB VDS M				
500010021	1	N	5	53		72.757	323.292	36.541075	-121.908778	.697	ML	1	CARMEL VALLEY RD HWY 1 NB VDS ML				
500010022	1	S	5	53		72.758	323.227	36.541106	-121.90882	.698	ML	1	CARMEL VALLEY RD HWY 1 NB VDS ML				
500010031	1	N	5	53		73.726	324.261	36.554647	-121.910926	.831	ML	2	OCEAN AVE HWY 1 NB VDS MLNB NB				
500010032	1	S	5	53		73.727	324.196	36.55466	-121.910928	.831	ML	1	OCEAN AVE HWY 1 NB VDS MLSB SB				
500010041	1	N	5	53		74.419	324.954	36.56444	-121.911973	1.242	ML	2	CARPENTER RD HWY 1 NB VDS MLNB N				
500010042	1	S	5	53		74.42	324.889	36.564468	-121.911943	1.241	ML	2	CARPENTER RD HWY 1 NB VDS MLSB S				
500010072	1	S	5	53	48872	76.21	326.679	36.582631	-121.895951	1.606	ML	2	MUNRAS RD HWY 1 SB VDS MLSB SB				
500010073	1	N	5	53	48872	76.211	326.746	36.58253	-121.895893	1.607	ML	2	MUNRAS RD HWY 1 SB VDS MLNB NB				
500010092	1	S	5	53	48872	77.632	328.101	36.593416	-121.876677	.907	ML	2	SLOAT AVE HWY 1 SB VDS MLSB SB				
500010093	1	N	5	53	48872	77.633	328.168	36.593216	-121.876628	.906	ML	2	SLOAT AVE HWY 1 SB VDS MLNB NB				
500010101	1	N	5	53	48872	78.023	328.558	36.594593	-121.869761	.457	ML	2	SOUTH OF HWY 68 EAST AT HWY 1 NB				
500010102	1	S	5	53	48872	78.024	328.493	36.594697	-121.869852	.457	ML	2	SOUTH OF HWY 68 EAST AT HWY 1 NB				
500010121	1	S	5	53	48872	78.546	329.015	36.600103	-121.86363	.758	ML	2	CASA VERDE WAY HWY 1 SB VDS MLSB				
500010122	1	N	5	53	48872	78.547	329.082	36.600023	-121.863401	.758	ML	2	CASA VERDE WAY HWY 1 SB VDS MLNB				
500010142	1	N	5	53	65112	79.54	330.075	36.611936	-121.85503	1.246	ML	2	CANYON DEL REY BLVD AT HWY 1 NB				
500010143	1	S	5	53	65112	79.541	330.01	36.612005	-121.855285	1.246	ML	2	CANYON DEL REY BLVD AT HWY 1 NB				
500011011	1	S	5	53		81.039	331.508	36.628201	-121.838291	1.019	ML	3	NORTH OF FREMONT HWY 1 SB VDS ML				
500011012	1	N	5	53		81.04	331.575	36.628179	-121.838021	1.019	ML	3	NORTH OF FREMONT HWY 1 SB VDS ML				
500011021	1	N	5	53		81.577	332.112	36.634425	-121.832281	.858	ML	3	MIDPOINT HWY 1 NB VDS MLNB NB				
500011022	1	S	5	53		81.578	332.047	36.63447	-121.832614	.87	ML	3	MIDPOINT HWY 1 NB VDS MLSB SB				
500011032	1	N	5	53		82.779	333.291	36.645899	-121.816675	1.695	ML	2	LIGHTFIGHTER DR HWY 1 NB VDS MLN				
500011033	1	S	5	53		82.78	333.249	36.645941	-121.817102	1.707	ML	2	LIGHTFIGHTER DR HWY 1 NB VDS MLS				
500011052	1	N	5	53		84.991	335.503	36.675824	-121.808276	1.959	ML	2	DEL MONTE BLVD SOUTH HWY 1 NB VD				
500011053	1	S	5	53	45778	84.992	335.461	36.67579	-121.808715	1.958	ML	2	DEL MONTE BLVD SOUTH HWY 1 NB VD				
500011062	1	S	5	53		86.696	337.165	36.699664	-121.803399	1.793	ML	2	RESERVATION RD HWY 1 SB VDS MLSB				
500011063	1	N	5	53	45778	86.697	337.209	36.699496	-121.803031	1.793	ML	2	RESERVATION RD HWY 1 SB VDS MLNB				
500011072	1	N	5	53		88.577	339.089	36.724239	-121.790028	1.832	ML	2	DEL MONTE BLVD NORTH HWY 1 NB VD				
500011073	1	S	5	53		88.578	339.047	36.724645	-121.790202	1.834	ML	2	DEL MONTE BLVD NORTH HWY 1 NB VD				
500011082	1	N	5	53		90.362	340.874	36.745293	-121.771374	1.079	ML	2	NASHUA RD HWY 1 NB VDS MLNB NB				
500011083	1	S	5	53		90.363	340.832	36.74546	-121.771718	1.147	ML	2	NASHUA RD HWY 1 NB VDS MLSB SB				
500011092	1	N	5	53		90.736	341.248	36.749832	-121.767679	1.309	ML	2	HWY 156 AT HWY 1 NB VDS MLNB NB				
500011102	1	S	5	53		90.874	341.343	36.751725	-121.76723	1.309	ML	2	HWY 156 AT HWY 1 SB VDS MLSB SB				
500011121	1	N	5	53		94.386	343.491	36.780229	-121.777463	1.515	ML	1	MOLERA RD HWY 1 NB VDS MLNB NB				
